seconds_pre_waveform_query	1730218097.4881315
seconds_post_waveform_query	1730218097.5340273
xzero2	0
xmultiplier2	0.0002
yzero2	-0.1
ymultiplier2	0.02
transfer_duty_cycle	1.0
xzero3	0
xmultiplier3	0.0002
yzero3	2.68
ymultiplier3	0.04
/sillyscope/VISA/Device	'USB0::0x1AB1::0x04CE::DS1ZA204719905::INSTR'
/sillyscope/Acquire/Iterations	0
/sillyscope/Acquire/Trigger	False
/sillyscope/Acquire/Get_First_Header	True
/sillyscope/Acquire/Get_All_Headers	True
/sillyscope/Acquire/Discard_Identical	False
/sillyscope/Acquire/RIGOL1000BDE/Trigger_Delay	0.05
/sillyscope/Acquire/RIGOL1000BDE/Unlock	True
/sillyscope/Acquire/RIGOL1000Z/Always_Clear	True
DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'x'\nylabels = ( 'y2', 'y3' )\n"
self.number_history	0
self.text_log_note	'Note'

x	y2	y3
0.0	0.72	3.52
0.0002	0.66	3.8
0.0004	0.66	3.76
0.0006000000000000001	0.72	3.92
0.0008	0.72	3.879
0.001	0.66	4.0
0.0012000000000000001	0.66	4.0
0.0014	0.72	3.879
0.0016	0.66	3.92
0.0018000000000000002	0.72	3.68
0.002	0.66	3.68
0.0022	0.72	3.4
0.0024000000000000002	0.66	3.44
0.0026000000000000003	0.7	3.12
0.0028	0.68	3.16
0.003	0.66	2.799
0.0032	0.68	2.84
0.0034000000000000002	0.64	2.6
0.0036000000000000003	0.68	2.6
0.0038	0.62	2.44
0.004	0.66	2.44
0.004200000000000001	0.58	2.52
0.0044	0.6	2.44
0.0046	0.54	2.68
0.0048000000000000004	0.56	2.6
0.005	0.48	2.84
0.005200000000000001	0.52	2.799
0.0054	0.42	3.16
0.0056	0.44	3.12
0.0058000000000000005	0.3403	3.44
0.006	0.38	3.4
0.006200000000000001	0.2401	3.76
0.0064	0.2803	3.719
0.0066	0.18	4.0
0.0068000000000000005	0.2001	3.96
0.007	0.1201	4.12
0.007200000000000001	0.2001	4.04
0.0074	0.1001	4.12
0.0076	0.14	4.12
0.0078000000000000005	0.0801	3.92
0.008	0.06006	3.96
0.0082	0.14	3.719
0.008400000000000001	0.14	3.719
0.0086	0.06006	3.4
0.0088	0.14	3.44
0.009000000000000001	0.06006	3.12
0.0092	0.14	3.16
0.0094	0.06006	2.879
0.009600000000000001	0.1201	2.92
0.0098	0.04004	2.64
0.01	0.0801	2.68
0.0102	6.104e-05	2.56
0.010400000000000001	0.06006	2.6
0.0106	6.104e-05	2.52
0.0108	0.02002	2.56
0.011000000000000001	-0.01996	2.76
0.0112	0.02002	2.76
0.0114	-0.05997	3.04
0.011600000000000001	-0.03998	3.0
0.0118	-0.07996	3.32
0.012	-0.05997	3.28
0.0122	-0.12	3.64
0.012400000000000001	-0.1	3.6
0.0126	-0.14	3.92
0.0128	-0.14	3.879
0.013000000000000001	-0.1	4.12
0.0132	-0.14	4.08
0.0134	-0.05997	4.242
0.013600000000000001	-0.07996	4.242
0.013800000000000002	6.104e-05	4.12
0.014	-0.03998	4.16
0.0142	0.06006	3.96
0.014400000000000001	0.04004	4.0
0.0146	0.16	3.719
0.0148	0.1201	3.76
0.015000000000000001	0.2603	3.44
0.0152	0.2201	3.44
0.0154	0.3604	3.16
0.015600000000000001	0.3003	3.2
0.0158	0.42	2.879
0.016	0.3604	2.959
0.0162	0.48	2.68
0.0164	0.42	2.799
0.0166	0.5	2.64
0.016800000000000002	0.46	2.719
0.017	0.54	2.64
0.0172	0.54	2.68
0.017400000000000002	0.46	2.92
0.0176	0.46	2.879
0.0178	0.52	3.2
0.018000000000000002	0.48	3.16
0.0182	0.4	3.52
0.0184	0.42	3.48
0.018600000000000002	0.3403	3.879
0.0188	0.3604	3.84
0.019	0.2803	4.08
0.019200000000000002	0.3003	4.08
0.0194	0.2201	4.28
0.0196	0.2603	4.28
0.0198	0.18	4.242
0.02	0.2001	4.28
0.020200000000000003	0.1201	4.2
0.0204	0.18	4.242
0.0206	0.1001	3.96
0.020800000000000003	0.1001	4.0
0.021	0.14	3.719
0.0212	0.1201	3.719
0.021400000000000002	0.06006	3.36
0.0216	0.1201	3.4
0.0218	0.06006	3.04
0.022000000000000002	0.1201	3.08
0.0222	0.04004	2.879
0.0224	0.04004	2.92
0.022600000000000002	0.1201	2.76
0.0228	0.04004	2.68
0.023	0.1201	2.799
0.023200000000000002	0.1201	2.76
0.0234	0.06006	2.92
0.0236	0.06006	2.879
0.0238	0.2001	3.16
0.024	0.1001	3.12
0.024200000000000003	0.2001	3.44
0.0244	0.2001	3.4
0.0246	0.1201	3.76
0.024800000000000003	0.14	3.719
0.025	0.2401	4.04
0.0252	0.16	4.0
0.025400000000000002	0.2603	4.28
0.0256	0.2201	4.242
0.0258	0.3203	4.4
0.026000000000000002	0.2401	4.4
0.0262	0.3604	4.32
0.0264	0.3003	4.4
0.026600000000000002	0.38	4.2
0.0268	0.3604	4.242
0.027	0.44	3.96
0.027200000000000002	0.42	4.0
0.0274	0.5	3.64
0.027600000000000003	0.46	3.68
0.027800000000000002	0.52	3.36
0.028	0.48	3.36
0.028200000000000003	0.56	3.04
0.0284	0.52	3.08
0.0286	0.6	2.879
0.028800000000000003	0.6	2.92
0.029	0.54	2.799
0.0292	0.58	2.799
0.029400000000000003	0.62	2.92
0.0296	0.62	2.879
0.0298	0.6	3.08
0.030000000000000002	0.6	3.04
0.0302	0.66	3.32
0.0304	0.66	3.28
0.030600000000000002	0.62	3.64
0.0308	0.64	3.6
0.031	0.66	3.92
0.031200000000000002	0.64	3.879
0.031400000000000004	0.66	4.242
0.0316	0.64	4.2
0.0318	0.68	4.4
0.032	0.64	4.36
0.0322	0.68	4.52
0.0324	0.64	4.52
0.032600000000000004	0.66	4.36
0.0328	0.64	4.48
0.033	0.68	4.28
0.0332	0.64	4.32
0.0334	0.68	4.08
0.033600000000000005	0.68	4.08
0.033800000000000004	0.64	3.76
0.034	0.64	3.8
0.0342	0.68	3.52
0.0344	0.64	3.56
0.0346	0.68	3.4
0.034800000000000005	0.64	3.52
0.035	0.68	3.76
0.0352	0.64	3.719
0.0354	0.66	3.92
0.0356	0.64	3.879
0.0358	0.68	4.12
0.036000000000000004	0.64	4.08
0.0362	0.68	4.28
0.0364	0.64	4.28
0.0366	0.68	4.4
0.0368	0.64	4.36
0.037000000000000005	0.68	4.52
0.037200000000000004	0.64	4.52
0.0374	0.68	4.44
0.0376	0.64	4.52
0.0378	0.68	4.4
0.038	0.64	4.4
0.038200000000000005	0.68	4.242
0.038400000000000004	0.64	4.28
0.0386	0.68	4.08
0.0388	0.64	4.08
0.039	0.68	3.84
0.0392	0.64	3.879
0.039400000000000004	0.66	3.6
0.0396	0.64	3.56
0.0398	0.66	3.28
0.04	0.66	3.32
0.0402	0.6	3.04
0.040400000000000005	0.66	3.08
0.040600000000000004	0.6	2.92
0.0408	0.64	2.959
0.041	0.58	2.799
0.0412	0.62	2.799
0.0414	0.58	2.84
0.041600000000000005	0.6	2.799
0.041800000000000004	0.54	2.959
0.042	0.6	2.879
0.0422	0.52	3.08
0.0424	0.56	3.04
0.0426	0.52	3.28
0.042800000000000005	0.54	3.24
0.043000000000000003	0.48	3.44
0.0432	0.5	3.4
0.0434	0.46	3.68
0.0436	0.48	3.64
0.0438	0.42	3.92
0.044000000000000004	0.44	3.92
0.0442	0.4	4.16
0.0444	0.42	4.12
0.0446	0.3604	4.28
0.0448	0.38	4.242
0.045000000000000005	0.3403	4.4
0.045200000000000004	0.3403	4.4
0.0454	0.2803	4.32
0.0456	0.3003	4.36
0.0458	0.2401	4.2
0.046	0.2603	4.242
0.046200000000000005	0.2201	4.04
0.046400000000000004	0.2401	4.04
0.0466	0.16	3.84
0.0468	0.2001	3.8
0.047	0.16	3.56
0.0472	0.18	3.56
0.047400000000000005	0.1201	3.28
0.0476	0.1201	3.32
0.0478	0.16	3.0
0.048	0.14	3.08
0.0482	0.1001	2.84
0.048400000000000006	0.1001	2.84
0.048600000000000004	0.2001	2.76
0.0488	0.2001	2.799
0.049	0.1001	2.68
0.0492	0.2001	2.68
0.0494	0.1001	2.84
0.049600000000000005	0.2001	2.76
0.049800000000000004	0.1201	3.0
0.05	0.2001	2.92
0.0502	0.1201	3.2
0.0504	0.14	3.16
0.0506	0.2401	3.44
0.050800000000000005	0.2401	3.4
0.051000000000000004	0.16	3.68
0.0512	0.2401	3.64
0.0514	0.1201	3.92
0.0516	0.2001	3.879
0.051800000000000006	0.1201	4.12
0.052000000000000005	0.1201	4.08
0.0522	0.18	4.242
0.0524	0.16	4.2
0.0526	0.2001	4.28
0.0528	0.18	4.28
0.053000000000000005	0.2603	4.2
0.053200000000000004	0.2401	4.242
0.0534	0.3003	4.04
0.0536	0.2803	4.04
0.0538	0.3604	3.8
0.054	0.3403	3.8
0.054200000000000005	0.38	3.52
0.054400000000000004	0.3604	3.56
0.0546	0.44	3.24
0.0548	0.42	3.28
0.055	0.48	3.0
0.055200000000000006	0.46	3.04
0.055400000000000005	0.5	2.76
0.055600000000000004	0.48	2.799
0.0558	0.5	2.64
0.056	0.5	2.68
