seconds_pre_waveform_query	1730217941.1122034
seconds_post_waveform_query	1730217941.1597707
xzero2	0
xmultiplier2	9.9e+37
yzero2	-4.25201762205e+47
ymultiplier2	9.9e+37
transfer_duty_cycle	1.0
xzero3	0
xmultiplier3	0.0002
yzero3	2.68
ymultiplier3	0.04
DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'x'\nylabels = ( 'y2', 'y3' )\n"
self.number_history	0
self.text_log_note	'Note'

x	y2	y3
0.0	_	3.12
0.0002	_	3.44
0.0004	_	3.44
0.0006000000000000001	_	3.719
0.0008	_	3.719
0.001	_	3.92
0.0012000000000000001	_	3.879
0.0014	_	4.0
0.0016	_	4.0
0.0018000000000000002	_	3.96
0.002	_	4.0
0.0022	_	3.76
0.0024000000000000002	_	3.8
0.0026000000000000003	_	3.52
0.0028	_	3.56
0.003	_	3.24
0.0032	_	3.28
0.0034000000000000002	_	3.0
0.0036000000000000003	_	3.0
0.0038	_	2.68
0.004	_	2.719
0.004200000000000001	_	2.56
0.0044	_	2.6
0.0046	_	2.44
0.0048000000000000004	_	2.44
0.005	_	2.6
0.005200000000000001	_	2.52
0.0054	_	2.719
0.0056	_	2.68
0.0058000000000000005	_	2.959
0.006	_	2.92
0.006200000000000001	_	3.32
0.0064	_	3.32
0.0066	_	3.64
0.0068000000000000005	_	3.6
0.007	_	3.879
0.007200000000000001	_	3.84
0.0074	_	4.04
0.0076	_	4.0
0.0078000000000000005	_	4.12
0.008	_	4.12
0.0082	_	4.0
0.008400000000000001	_	4.04
0.0086	_	3.84
0.0088	_	3.879
0.009000000000000001	_	3.6
0.0092	_	3.64
0.0094	_	3.28
0.009600000000000001	_	3.32
0.0098	_	3.0
0.01	_	3.04
0.0102	_	2.76
0.010400000000000001	_	2.799
0.0106	_	2.64
0.0108	_	2.68
0.011000000000000001	_	2.56
0.0112	_	2.56
0.0114	_	2.68
0.011600000000000001	_	2.64
0.0118	_	2.84
0.012	_	2.799
0.0122	_	3.12
0.012400000000000001	_	3.12
0.0126	_	3.44
0.0128	_	3.44
0.013000000000000001	_	3.76
0.0132	_	3.719
0.0134	_	4.0
0.013600000000000001	_	3.96
0.013800000000000002	_	4.16
0.014	_	4.12
0.0142	_	4.242
0.014400000000000001	_	4.242
0.0146	_	4.08
0.0148	_	4.12
0.015000000000000001	_	3.92
0.0152	_	3.92
0.0154	_	3.64
0.015600000000000001	_	3.64
0.0158	_	3.32
0.016	_	3.32
0.0162	_	3.0
0.0164	_	3.04
0.0166	_	2.76
0.016800000000000002	_	2.799
0.017	_	2.64
0.0172	_	2.64
0.017400000000000002	_	2.68
0.0176	_	2.64
0.0178	_	2.799
0.018000000000000002	_	2.76
0.0182	_	3.04
0.0184	_	3.0
0.018600000000000002	_	3.32
0.0188	_	3.28
0.019	_	3.6
0.019200000000000002	_	3.6
0.0194	_	3.92
0.0196	_	3.879
0.0198	_	4.16
0.02	_	4.16
0.020200000000000003	_	4.28
0.0204	_	4.28
0.0206	_	4.242
0.020800000000000003	_	4.28
0.021	_	4.12
0.0212	_	4.16
0.021400000000000002	_	3.92
0.0216	_	3.92
0.0218	_	3.6
0.022000000000000002	_	3.6
0.0222	_	3.28
0.0224	_	3.32
0.022600000000000002	_	3.0
0.0228	_	3.04
0.023	_	2.799
0.023200000000000002	_	2.84
0.0234	_	2.68
0.0236	_	2.799
0.0238	_	2.68
0.024	_	2.76
0.024200000000000003	_	2.959
0.0244	_	2.92
0.0246	_	3.24
0.024800000000000003	_	3.24
0.025	_	3.56
0.0252	_	3.56
0.025400000000000002	_	3.92
0.0256	_	3.879
0.0258	_	4.16
0.026000000000000002	_	4.12
0.0262	_	4.36
0.0264	_	4.32
0.026600000000000002	_	4.4
0.0268	_	4.4
0.027	_	4.32
0.027200000000000002	_	4.36
0.0274	_	4.12
0.027600000000000003	_	4.16
0.027800000000000002	_	3.879
0.028	_	3.92
0.028200000000000003	_	3.6
0.0284	_	3.56
0.0286	_	3.24
0.028800000000000003	_	3.28
0.029	_	3.0
0.0292	_	3.04
0.029400000000000003	_	2.879
0.0296	_	2.92
0.0298	_	2.799
0.030000000000000002	_	2.799
0.0302	_	2.959
0.0304	_	2.92
0.030600000000000002	_	3.16
0.0308	_	3.12
0.031	_	3.44
0.031200000000000002	_	3.4
0.031400000000000004	_	3.76
0.0316	_	3.719
0.0318	_	4.04
0.032	_	4.08
0.0322	_	4.32
0.0324	_	4.32
0.032600000000000004	_	4.48
0.0328	_	4.44
0.033	_	4.52
0.0332	_	4.52
0.0334	_	4.44
0.033600000000000005	_	4.44
0.033800000000000004	_	4.2
0.034	_	4.242
0.0342	_	3.96
0.0344	_	3.879
0.0346	_	4.04
0.034800000000000005	_	3.96
0.035	_	4.16
0.0352	_	4.12
0.0354	_	4.36
0.0356	_	4.32
0.0358	_	4.48
0.036000000000000004	_	4.4
0.0362	_	4.52
0.0364	_	4.52
0.0366	_	4.44
0.0368	_	4.48
0.037000000000000005	_	4.4
0.037200000000000004	_	4.4
0.0374	_	4.28
0.0376	_	4.28
0.0378	_	4.08
0.038	_	4.12
0.038200000000000005	_	3.84
0.038400000000000004	_	3.879
0.0386	_	3.52
0.0388	_	3.56
0.039	_	3.28
0.0392	_	3.32
0.039400000000000004	_	3.12
0.0396	_	3.16
0.0398	_	2.92
0.04	_	2.959
0.0402	_	2.799
0.040400000000000005	_	2.84
0.040600000000000004	_	2.799
0.0408	_	2.799
0.041	_	2.92
0.0412	_	2.879
0.0414	_	3.04
0.041600000000000005	_	3.0
0.041800000000000004	_	3.2
0.042	_	3.16
0.0422	_	3.44
0.0424	_	3.4
0.0426	_	3.68
0.042800000000000005	_	3.64
0.043000000000000003	_	3.92
0.0432	_	3.879
0.0434	_	4.12
0.0436	_	4.08
0.0438	_	4.28
0.044000000000000004	_	4.242
0.0442	_	4.4
0.0444	_	4.32
0.0446	_	4.4
0.0448	_	4.36
0.045000000000000005	_	4.2
0.045200000000000004	_	4.242
0.0454	_	4.08
0.0456	_	4.12
0.0458	_	3.84
0.046	_	3.879
0.046200000000000005	_	3.6
0.046400000000000004	_	3.64
0.0466	_	3.36
0.0468	_	3.32
0.047	_	3.08
0.0472	_	3.08
0.047400000000000005	_	2.879
0.0476	_	2.92
0.0478	_	2.76
0.048	_	2.799
0.0482	_	2.68
0.048400000000000006	_	2.68
0.048600000000000004	_	2.799
0.0488	_	2.76
0.049	_	2.92
0.0492	_	2.879
0.0494	_	3.12
